PATCH DIRECTORY /opt/firefox/updates/0
INSTALLATION DIRECTORY /opt/firefox
WORKING DIRECTORY /opt/firefox
UPDATE TYPE partial
PREPARE PATCH updater
PREPARE ADD removed-files
PREPARE ADD precomplete
PREPARE PATCH plugin-container.sig
PREPARE PATCH plugin-container
PREPARE PATCH platform.ini
PREPARE PATCH pingsender
PREPARE PATCH omni.ja
PREPARE PATCH libxul.so.sig
PREPARE PATCH libxul.so
PREPARE ADD libsoftokn3.chk
PREPARE ADD libnssdbm3.chk
PREPARE PATCH libnspr4.so
PREPARE PATCH libmozsqlite3.so
PREPARE ADD libfreeblpriv3.chk
PREPARE PATCH gmp-clearkey/0.1/libclearkey.so.sig
PREPARE PATCH firefox.sig
PREPARE PATCH firefox-bin.sig
PREPARE PATCH firefox-bin
PREPARE PATCH firefox
PREPARE ADD chrome.manifest
PREPARE PATCH browser/features/webcompat@mozilla.org.xpi
PREPARE PATCH browser/features/onboarding@mozilla.org.xpi
PREPARE PATCH browser/features/jaws-esr@mozilla.org.xpi
PREPARE PATCH browser/features/formautofill@mozilla.org.xpi
PREPARE PATCH browser/features/firefox@getpocket.com.xpi
PREPARE PATCH browser/features/aushelper@mozilla.org.xpi
PREPARE PATCH browser/features/activity-stream@mozilla.org.xpi
PREPARE PATCH browser/extensions/{972ce4c6-7e08-4474-a285-3208198ce6fd}.xpi
PREPARE PATCH browser/blocklist.xml
PREPARE PATCH application.ini
EXECUTE PATCH updater
EXECUTE ADD removed-files
EXECUTE ADD precomplete
EXECUTE PATCH plugin-container.sig
EXECUTE PATCH plugin-container
EXECUTE PATCH platform.ini
EXECUTE PATCH pingsender
EXECUTE PATCH omni.ja
EXECUTE PATCH libxul.so.sig
EXECUTE PATCH libxul.so
EXECUTE ADD libsoftokn3.chk
EXECUTE ADD libnssdbm3.chk
EXECUTE PATCH libnspr4.so
EXECUTE PATCH libmozsqlite3.so
EXECUTE ADD libfreeblpriv3.chk
EXECUTE PATCH gmp-clearkey/0.1/libclearkey.so.sig
EXECUTE PATCH firefox.sig
EXECUTE PATCH firefox-bin.sig
EXECUTE PATCH firefox-bin
EXECUTE PATCH firefox
EXECUTE ADD chrome.manifest
EXECUTE PATCH browser/features/webcompat@mozilla.org.xpi
EXECUTE PATCH browser/features/onboarding@mozilla.org.xpi
EXECUTE PATCH browser/features/jaws-esr@mozilla.org.xpi
EXECUTE PATCH browser/features/formautofill@mozilla.org.xpi
EXECUTE PATCH browser/features/firefox@getpocket.com.xpi
EXECUTE PATCH browser/features/aushelper@mozilla.org.xpi
EXECUTE PATCH browser/features/activity-stream@mozilla.org.xpi
EXECUTE PATCH browser/extensions/{972ce4c6-7e08-4474-a285-3208198ce6fd}.xpi
EXECUTE PATCH browser/blocklist.xml
EXECUTE PATCH application.ini
FINISH PATCH updater
FINISH ADD removed-files
FINISH ADD precomplete
FINISH PATCH plugin-container.sig
FINISH PATCH plugin-container
FINISH PATCH platform.ini
FINISH PATCH pingsender
FINISH PATCH omni.ja
FINISH PATCH libxul.so.sig
FINISH PATCH libxul.so
FINISH ADD libsoftokn3.chk
FINISH ADD libnssdbm3.chk
FINISH PATCH libnspr4.so
FINISH PATCH libmozsqlite3.so
FINISH ADD libfreeblpriv3.chk
FINISH PATCH gmp-clearkey/0.1/libclearkey.so.sig
FINISH PATCH firefox.sig
FINISH PATCH firefox-bin.sig
FINISH PATCH firefox-bin
FINISH PATCH firefox
FINISH ADD chrome.manifest
FINISH PATCH browser/features/webcompat@mozilla.org.xpi
FINISH PATCH browser/features/onboarding@mozilla.org.xpi
FINISH PATCH browser/features/jaws-esr@mozilla.org.xpi
FINISH PATCH browser/features/formautofill@mozilla.org.xpi
FINISH PATCH browser/features/firefox@getpocket.com.xpi
FINISH PATCH browser/features/aushelper@mozilla.org.xpi
FINISH PATCH browser/features/activity-stream@mozilla.org.xpi
FINISH PATCH browser/extensions/{972ce4c6-7e08-4474-a285-3208198ce6fd}.xpi
FINISH PATCH browser/blocklist.xml
FINISH PATCH application.ini
succeeded
calling QuitProgressUI
